"cat","variable","value"
"Nurses",55,0
"Care assistants",55,1
"Reeducation",55,0
"Doctors",55,1
"Porters",55,1
"Other",55,1
"Nurses",56,0
"Care assistants",56,0
"Reeducation",56,1
"Doctors",56,1
"Porters",56,1
"Other",56,1
"Nurses",57,1
"Care assistants",57,1
"Reeducation",57,1
"Doctors",57,1
"Porters",57,1
"Other",57,0
"Nurses",58,1
"Care assistants",58,1
"Reeducation",58,1
"Doctors",58,1
"Porters",58,0
"Other",58,1
"Nurses",59,1
"Care assistants",59,1
"Reeducation",59,1
"Doctors",59,0
"Porters",59,1
"Other",59,1
"Nurses",60,1
"Care assistants",60,1
"Reeducation",60,0
"Doctors",60,1
"Porters",60,1
"Other",60,1
"Nurses",61,1
"Care assistants",61,0
"Reeducation",61,1
"Doctors",61,1
"Porters",61,1
"Other",61,1
"Nurses",62,0
"Care assistants",62,1
"Reeducation",62,1
"Doctors",62,1
"Porters",62,1
"Other",62,1
"Nurses",63,1
"Care assistants",63,1
"Reeducation",63,1
"Doctors",63,1
"Porters",63,1
"Other",63,1
"Nurses",64,0
"Care assistants",64,0
"Reeducation",64,0
"Doctors",64,0
"Porters",64,0
"Other",64,0
