"acq_PA","acq_PE","acq_tot","sim_id","scenario"
34,6,40,318,0
27,2,29,319,0
27,4,31,320,0
33,5,38,321,0
36,8,44,322,0
36,3,39,323,0
30,9,39,324,0
37,6,43,325,0
31,3,34,326,0
29,5,34,327,0
30,2,32,328,0
28,7,35,329,0
24,3,27,330,0
25,3,28,331,0
25,6,31,332,0
26,9,35,333,0
26,6,32,334,0
34,5,39,335,0
41,8,49,336,0
28,8,36,337,0
32,3,35,338,0
38,4,42,339,0
37,6,43,340,0
43,7,50,341,0
26,5,31,342,0
28,7,35,343,0
34,4,38,344,0
33,6,39,345,0
34,6,40,346,0
38,6,44,347,0
30,1,31,348,0
28,3,31,349,0
42,3,45,350,0
31,6,37,351,0
40,9,49,352,0
28,6,34,353,0
32,6,38,354,0
36,3,39,355,0
35,5,40,356,0
31,8,39,357,0
37,8,45,358,0
31,7,38,359,0
30,3,33,360,0
38,0,38,361,0
28,3,31,362,0
32,7,39,363,0
41,4,45,364,0
27,4,31,365,0
36,9,45,366,0
28,1,29,367,0
29,3,32,368,0
29,4,33,369,0
29,4,33,370,0
32,8,40,371,0
35,6,41,372,0
20,3,23,373,0
24,6,30,374,0
27,7,34,375,0
23,8,31,376,0
31,5,36,377,0
30,5,35,378,0
28,5,33,379,0
22,5,27,380,0
35,5,40,381,0
25,2,27,382,0
30,4,34,383,0
32,7,39,384,0
34,3,37,385,0
26,6,32,386,0
24,9,33,387,0
26,3,29,388,0
36,4,40,389,0
28,3,31,390,0
32,3,35,391,0
30,4,34,392,0
40,2,42,393,0
29,7,36,394,0
30,2,32,395,0
31,5,36,396,0
36,8,44,397,0
27,3,30,398,0
32,3,35,399,0
34,8,42,400,0
40,7,47,401,0
30,9,39,402,0
33,3,36,403,0
36,7,43,404,0
29,5,34,405,0
30,3,33,406,0
27,5,32,407,0
27,5,32,408,0
41,3,44,409,0
24,4,28,410,0
35,7,42,411,0
36,5,41,412,0
28,4,32,413,0
31,4,35,414,0
29,6,35,415,0
26,4,30,416,0
43,2,45,417,0
28,3,31,418,0
21,5,26,419,0
33,3,36,420,0
32,8,40,421,0
38,3,41,422,0
36,5,41,423,0
32,9,41,424,0
32,5,37,425,0
33,5,38,426,0
32,5,37,427,0
33,3,36,428,0
28,4,32,429,0
36,6,42,430,0
28,3,31,431,0
30,8,38,432,0
35,5,40,433,0
25,6,31,434,0
23,3,26,435,0
26,10,36,436,0
33,4,37,437,0
38,5,43,438,0
26,4,30,439,0
28,10,38,440,0
26,4,30,441,0
33,3,36,442,0
30,4,34,443,0
26,2,28,444,0
41,6,47,445,0
37,1,38,446,0
26,5,31,447,0
33,2,35,448,0
29,5,34,449,0
31,5,36,450,0
28,2,30,451,0
25,4,29,452,0
29,4,33,453,0
31,2,33,454,0
29,5,34,455,0
25,7,32,456,0
30,4,34,457,0
33,7,40,458,0
31,8,39,459,0
26,6,32,460,0
26,10,36,461,0
23,4,27,462,0
29,5,34,463,0
39,6,45,464,0
29,7,36,465,0
27,1,28,466,0
37,4,41,467,0
30,1,31,468,0
30,1,31,469,0
36,7,43,470,0
39,4,43,471,0
29,7,36,472,0
35,8,43,473,0
36,8,44,474,0
36,7,43,475,0
23,5,28,476,0
25,4,29,477,0
35,4,39,478,0
27,7,34,479,0
29,2,31,480,0
39,4,43,481,0
28,5,33,482,0
23,3,26,483,0
34,5,39,484,0
37,3,40,485,0
28,8,36,486,0
32,8,40,487,0
28,5,33,488,0
26,3,29,489,0
21,4,25,490,0
33,4,37,491,0
32,4,36,492,0
22,7,29,493,0
31,5,36,494,0
25,4,29,495,0
29,4,33,496,0
34,8,42,497,0
25,5,30,498,0
36,8,44,499,0
31,2,33,500,0
