"scenario","val","lower","upper","pval","group","inter"
2,0.100750841748349,0.086711386903367,0.114895706113107,1.72913591361182e-38,"Patients","Contact precaution"
4,0.156213150415679,0.143313191819224,0.168727133784955,1.93197478444522e-90,"Patients","Contact precaution"
6,0.156415536992809,0.143662969721108,0.169161682483651,1.32595454326575e-89,"Patients","Contact precaution"
