"scenario","val","lower","upper","pval","group","inter"
2,0.162845285157707,0.15012629272814,0.175380133639723,3.99753163652175e-95,"All staff","Contact precaution"
4,0.213901079183006,0.202247495551866,0.225358950055698,5.12262312217122e-167,"All staff","Contact precaution"
6,0.206787819423374,0.195504003790162,0.218034832414703,9.88664732122136e-160,"All staff","Contact precaution"
