"scenario","val","lower","upper","pval","group","inter"
2,0.0107982068607081,-0.00396874434537958,0.0259570444428304,0.153611282342643,"Patients","Contact precaution"
4,0.0344221380647626,0.0199930295846919,0.0497145646854373,4.91250738547877e-06,"Patients","Contact precaution"
6,0.0425465911252939,0.0275967934973899,0.0570678516200739,4.1219918975542e-08,"Patients","Contact precaution"
