"scenario","val","lower","upper","pval","group","inter"
2,0.0261465360316469,0.0167146612830773,0.0356886173624614,4.60006412537817e-08,"Patients","Contact precaution"
4,0.0714450746213362,0.0621208986136742,0.0803722208875116,4.05100815556286e-48,"Patients","Contact precaution"
6,0.078942371133784,0.0703954160960179,0.0875460296753119,3.60349562203209e-66,"Patients","Contact precaution"
8,0.0838934998811406,0.0746621097563954,0.0932063997208376,9.33091322332191e-63,"Patients","Contact precaution"
10,0.105701226485042,0.0972997590195483,0.114334510891747,3.53410092881758e-111,"Patients","Contact precaution"
