"scenario","val","lower","upper","pval","group","inter"
2,0.0758672249101767,0.067326077535109,0.0843698565832797,3.69449126632713e-62,"All staff","Vaccination"
4,0.0968968094714305,0.0882823767498482,0.105262031538115,3.29116427391179e-95,"All staff","Vaccination"
6,0.127267707873924,0.118821480795036,0.135792686909761,1.40915613579639e-154,"All staff","Vaccination"
8,0.172657402499353,0.164470177336228,0.180535690492499,5.90958355146588e-256,"All staff","Vaccination"
10,0.165217122633439,0.157043832441563,0.173246849662348,1.70538959439881e-233,"All staff","Vaccination"
