"scenario","val","lower","upper","pval","group","inter"
2,0.0670788310252005,0.0583170762165098,0.0759264956366903,1.29888273774107e-46,"All staff","Contact precaution"
4,0.10887615851035,0.100265909111724,0.11725399905522,4.04470800683045e-117,"All staff","Contact precaution"
6,0.130690151676037,0.122605365533553,0.138763442287758,4.34320313995749e-175,"All staff","Contact precaution"
8,0.129518881918529,0.121408239902294,0.137587412834523,2.86096564722266e-165,"All staff","Contact precaution"
10,0.138027876979613,0.129434854941671,0.146392291406881,5.93906508877945e-173,"All staff","Contact precaution"
