"scenario","val","lower","upper","pval","group","inter"
2,0.0293579886718933,0.0201355339431449,0.0388099097069819,7.00020740905818e-10,"Patients","Vaccination"
4,0.0981754401842154,0.0897402320674031,0.106670360038424,1.57229652838881e-94,"Patients","Vaccination"
6,0.113614294604904,0.105172429957751,0.122060712358738,1.23033351302917e-126,"Patients","Vaccination"
8,0.11991359908751,0.111461127134714,0.128270176478266,2.92248723360858e-134,"Patients","Vaccination"
10,0.143538241912842,0.135212891948704,0.151893520739463,5.222243543789e-187,"Patients","Vaccination"
